Event 0
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 45
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 46
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 47
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 48
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 49
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 50
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 51
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 52
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 53
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 54
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 55
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 56
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 57
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 58
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 59
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 60
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 61
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 62
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 63
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 64
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 65
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 66
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 67
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 68
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 69
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 70
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 71
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 72
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 73
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 74
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 75
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 76
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 77
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 78
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 79
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 80
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 81
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 82
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 83
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 84
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 85
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 86
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 87
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 88
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 89
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 90
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 91
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 92
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 93
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 94
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 95
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 96
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 97
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 98
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
Event 99
0 : 6.28183
1 : 0.92761
2 : 1.8243
3 : 6.00436
4 : 1.42722
5 : 3.06286
6 : 6.0593
7 : 4.66768
8 : 3.35229
9 : 4.63356
